,urn,author,title,year
0,2013031206018,"Hoff, Benjamin",Tao med Ole Brumm,1988
1,2013040507021,"MacInnes, Helen",Treffpunkt Wien,1985
2,2011012105050,"Tomlinson, Jill",Uglen som var redd for mørket,1971
3,2015082548139,"Blatty, William Peter",Exorcisten - djevleutdriveren,1974
4,2012071806015,"Wagner, Jenny","Buster, Marie og katten",1978
5,2012022908075,"Raucher, Herman",Sommeren -42,1972
6,2016030907022,"Twain, Mark",Tom Sawyer,1982
7,2012062806124,"Kennedy, Richard",Amys øyne,1989
8,2009092900105,"Mills, Adam",Fly kapret!,1990
9,2013012907209,"Himes, Chester",Gulldrømmen,1979
10,2011022320037,"Brown, Carter","Ser deg siden, Sam",1981
11,2016052708004,"Musman, Richard",Blod-spor på bussen,1980
12,2012100106011,"Todd, Lisa",Skole for stjerner,1983
13,2015071308123,"MacLean, Alistair",Kanonene på Navarone,1981
14,2013012907094,"Abish, Walter",Hvor tysk er det = Wie deutsch ist es,1982
15,2010092808137,"William, Kate",Maktkamp,1990
16,2012011706054,"Achebe, Chinua",Nytt fra savannen,1988
17,2013022205023,"McClure, James",Narrespill,1976
18,2014100608189,"Steel, Danielle",Kanskje i morgen,1984
19,2014072305022,"Millar, Margaret",Ektemann savnet,1977
20,2011022320030,"Brown, Carter",Arving er arving verst,1972
21,2014120208204,"Coetzee, J.M.",Før barbarene kommer,1983
22,2013100305085,"Lewis, David",Lasse og far,1975
23,2012102906065,"Doctorow, E.L.",Lomsjøen,1981
24,2013040807221,"Ebersohn, Wessel",Mørke gjerninger,1985
25,2014102108006,"Francis, Dick",Den som graver en grav -,1987
26,2014070107040,"Slaughter, Frank G.",Kirurgens valg,1981
27,2011052608044,"Sheridan, Richard Brinsley",Skandaleskolen,1970
28,2013012206087,"Keillor, Garrison",rolig uke i Lake Wobegon,1988
29,2014102008113,"Clancy, Tom",Jakten på Rød Oktober,1986
30,2012012308061,"Forester, C.S.",linjeskip,1971
31,2014092308007,"Moore, Ruth Nulton",Mysteriet med den hemmelige koden,1989
32,2014031808107,"Steel, Danielle",Vi skal møtes igjen,1984
33,2016060908001,"Deighton, Len",XPD,1987
34,2013041805045,"Buckeridge, Anthony",Rex Milligan,1977
35,2014020708108,"Ellis, Edward S.",Jegerne i Kentucky,1975
36,2013040807012,"Truman, Margaret",Mord i Det hvite hus,1982
37,2007092504035,"Potok, Chaim",Mitt navn er Asher Lev,1990
38,2007070600008,"Shakespeare, William",Kong Lear,1981
39,2014111108255,"London, Jack",Bokseren,1975
40,2008052804038,"MacLean, Alistair",H.M.S. Ulysses,1974
41,2016060808075,"Millar, Margaret",Piken som lyttet,1982
42,2014101606096,"Fante, John",1933 var et dårlig år,1987
43,2012100106155,"Barnett, Anthony",Bange anelser ; Søla setter seg,1986
44,2014061108164,"Hinton, Susan E.",Outsiderne,1976
45,2009060804081,"Bellow, Saul",Tyveriet,1990
46,2011110308046,"Wyatt, George",Brains Benton og den falske drakmen,1970
47,2011051608041,"Steinbeck, John",Paradisets enger,1974
48,2012011308120,"Fraser, George MacDonald",Joker i hermelin,1972
49,2012061806061,"Bainbridge, Beryl",Fridag på flaskefabrikken,1978
50,2007071201054,"Allen, Woody",Fabeldyr - og andre lesestykker,1982
51,2016021808019,"Wodehouse, P.G.","Utmerket, Jeeves ; Takk skal De ha, Jeeves ; Jeeves den uforlignelige / P. G. Wodehouse",1981
52,2016071108131,"Kienzle, William",Rosenkrans-mordene,1987
53,2016061508100,"Fleming, Thomas J.",hvite løgnen,1980
54,2013102508026,"Chopin, Kate",kvinne våkner,1976
55,2010120308022,"Hogan, Ray",Slavehandlerne,1990
56,2015050407513,"Shute, Nevil",Til minne om Janet,1984
57,2015043007580,"Bellow, Saul",Desember,1983
58,2009070900019,"McBrier, Michael",Papegøye på frifot,1990
59,2014101506008,"Robinson, Barbara","Å, for eit julespel!",1987
60,2016010807520,"Hassler, Jon",Jakten,1983
61,2007071100054,"Haugaard, Erik Christian",Farleg last om bord,1975
62,2013040807122,"Ballinger, Bill S.",Spor i tåke,1977
63,2014021908047,"Aldridge, James",fantastiske villhesten,1977
64,2012112807008,"Morris, Michelle",Skulle jeg dø før natten er omme,1984
65,2012102506056,"Pynchon, Thomas",Katalognr 49,1977
66,2013040807013,"Jong, Erica",Kunsten å redde livet,1977
67,2014080508080,"Bonnecarrère, Paul",Operasjon Rosenknopp,1974
68,2012012008055,"Hardcastle, Michael",Streik!,1972
69,2014042306005,"MacLean, Alistair",Santorini,1987
70,2013040507069,"Crichton, Michael",Det store togrøveriet,1978
71,2010101220031,"Shock, Marianne",Dronning i hjerter,1990
72,2012092108066,"Heym, Stefan","Nidskriftet, eller Dronningi mot Defoe",1982
73,2012092406043,"Park, Ruth",Tullerusken Vombat,1977
74,2011022320072,"Brown, Carter",Mord til sengs,1981
75,2007082004062,"Auel, Jean M.",Steppevandringen,1990
76,2012102206082,"Greene, Graham",Toget til Istanbul,1976
77,2016062348087,"Charles, Theresa",kvinnes skygge,1983
78,2014062405046,"Aldiss, Brian W.",levende Frankenstein,1977
79,2013112606096,"Haugaard, Erik Christian",Soga om Håkon frå Rogen,1974
80,2012072508128,"Oxenbury, Helen",Ut å spise,1983
81,2015110407122,"Bellow, Saul",Han med foten i klaveret og andre fortellinger,1985
82,2010101220003,"Koontz, Dean R.",Fryktens ansikt,1990
83,2012012508092,"Cleary, Beverly",Henry og avisjobben,1972
84,2013012407145,"Dawson, A.J.",Ulvehunden Finn,1975
85,2014070708088,"Bukowski, Charles",Dagene styrter avsted som ville hester over alle hauger,1980
86,2010102920015,"Ludlum, Robert",Oppdrag Ikaros,1990
87,2007053001031,,Jeg - en maskin,1973
88,2007060400019,"MacLean, Alistair",Karneval i Vaccarès,1976
89,2011021120017,"Brown, Carter",Villkatt,1974
90,2011041305061,"Parker, Dorothy","Skitt, la oss leve",1977
91,2015062508132,"Royce, Kenneth",Tidsfristen,1983
92,2013041807161,"Wallace, Edgar",De fire rettferdige menn,1983
93,2013012907256,"McCann, Sean","Frem i angrep, Georgie!",1977
94,2010092708068,"Lyons, Genevieve",Kjærlighet og hat,1990
95,2012091408157,"London, Jack",Ulf Larsen,1978
96,2012020708045,"Scott, Walter",Ivanhoe,1986
97,2012071608127,"Ungerer, Tomi",Doré og det rare dyret,1978
98,2015111308037,"Dahl, Roald",Charlie og sjokoladefabrikken,1972
99,2007072401007,"Cleary, Beverly",Henry og Besus,1970
100,2014101306107,"Kincaid, Jamaica",Annie John,1986
101,2010101208081,"Bickham, Jack M.",Farlig medisin,1990
102,2015041408020,"Kempinski, Tom.",Duett for en,1982
103,2015050648104,"Gardner, Erle Stanley",Mord og diamanter,1980
104,2009060204084,"Langland, William",Peter Plogmann,1990
105,2012061808060,"Green, Gerald",Ofrene,1979
106,2015051308101,"Innes, Hammond","Kampen om ""Mary Deare""",1982
107,2012100106181,"Samuels, Gertrude","Kom deg unna, Shelley!",1977
108,2008100604015,"Cookson, Catherine",Gjøglerens datter,1987
109,2014081908179,"Kipling, Rudyard",Jungelboka,1974
110,2014070406010,,Space 1,1978
111,2012052508038,"Sagan, Carl",Kontakt,1986
112,2011102106069,"Ormerod, Jan",Når pappa kommer tilbake,1985
113,2011102608038,"Moore, Ruth",Abigails hus,1970
114,2013080508021,"Haas, Ben",Christinas hus,1978
115,2014100706042,"Sexton, Anne",Kjærligheten denne røde sykdom,1985
116,2013032208024,"West, Morris L.",Sommer med den røde ulv,1972
117,2016010808139,"Keene, Carolyn",Detektiv Nancy Drew og den mystiske skiløper,1978
118,2013110508002,"Harris, Richard",Hevneren,1983
119,2016062708118,"Scholefield, Alan",gyldne dalen,1986
120,2010111108054,,Roald Dahls svarte bok,1990
121,2012060806071,"Gordimer, Nadine",Julis folk,1982
122,2011013120017,"Kent, Larry",Mordet i bakgaten,1976
123,2012061906077,"Saunders, Jean",Farlig innblanding,1979
124,2014100807515,"Woolrich, Cornell",Det svarte forhenget,1985
125,2007021601014,"MacLean, Alistair",Ulysses,1978
126,2015110908253,"Dixon, Franklin W.",Hardy-guttene og fakkelmysteriet,1971
127,2012020104095,"Bainbridge, Beryl",Unge Adolf,1979
128,2007090301085,"Kendall, Julia Jay",Leken blir alvor,1990
129,2014012338013,"Kesey, Ken",Gjøkereiret,1976
130,2012091708092,"Vogel, Ilse-Margret",Erika,1977
131,2014032808003,"Forbes, Colin",Dekkoperasjon,1987
132,2007081004060,"Beckett, Samuel",Om Proust,1988
133,2007072600027,"Gordon, Donald",gylne østers,1970
134,2012041808068,"Wrigley, Denis",Elektrisitet,1972
135,2011011820028,"Kent, Larry",Piken i sort og rødt,1983
136,2015043007548,"Hughes, Terence",Alarm på Queen Mary,1984
137,2012041608102,,Tid uten grenser,1973
138,2016021208016,"London, Jack",Sneens datter,1987
139,2012121105095,"Cohen, Leonard",Slavenes energi,1989
140,2012092706130,"Aldridge, James",Det ville rittet,1984
141,2012092538012,"Hopp, Frans",Dromedaren Dorian,1977
142,2009072400004,"De Paola, Tomie",Tegnetimen,1990
143,2013040507028,"Kyle, Duncan",Operasjon Iskalott,1973
144,2015042008060,"Smith, Wilbur",Sverdets makt,1987
145,2007081601040,"MacLean, Alistair",Møte i rom sjø,1977
146,2012112707111,"Gosling, Paula",Blues for venstre hånd,1982
147,2013080508024,"Bringsværd, Tor Åge",Mowgli,1984
148,2012050708044,"Marlowe, Stephen",Forræderen,1971
149,2012011706052,"Ackroyd, Peter",Chatterton,1989
150,2013091205027,"Holt, Victoria",Rommet med det røde teppet,1975
151,2014040708080,"Innes, Hammond",Landet Gud ga Kain,1977
152,2014072405026,"Charles, Theresa",Huset på klippen,1990
153,2013041506215,"Charles, Theresa",Hennes sanne lykke,1974
154,2015013008145,"Delinsky, Barbara",helt spesiell,1985
155,2014102108271,,Graffiti,1984
156,2007112600089,"Nabokov, Vladimir",Lolita,1990
157,2012111305053,"Blyton, Enid",mystiske elven,1976
158,2016110148087,"Lawhead, Steve",Henrik på ballongtur,1988
159,2013041807118,"Fearing, Kenneth",Tampen brenner,1975
160,2014110508034,"Simpson, Dorothy",Straffen,1985
161,2007091101025,"Himes, Chester",Hardt spill i Harlem,1983
162,2015072108041,"Ferguson, Ruby",Jill som ridelærer,1980
163,2013102407111,"St. John, Patricia M.",De fire lysene og andre fortellinger,1977
164,2011012820017,"Shelton, Cole",Betaling i bly,1989
165,2015102908049,"Grey, Wardell",Hestekongens datter,1975
166,2015110507012,"Jacobs, Paul S.",Sendt av stjernene,1989
167,2015062408069,"Twain, Mark",Tom Sawyer,1982
168,2012070206095,"Webster, John",Hvite djevler,1982
169,2011032508063,"MacLean, Alistair",Døds-mikroben,1972
170,2010093020013,"Woods, Eleanor","Elsker, elsker ikke-",1990
171,2011011820020,"Kent, Larry",Aldri på en fredag,1983
172,2015043007536,"McCullough, Colleen",Tornefuglene,1978
173,2016011907537,"Julian-Ottie, Vanessa",Lisa,1990
174,2014102008141,,Siste frist og andre historier for jenter,1979
175,2013061108067,"Kerr, M. E.",Kjærlighet meldt savnet,1978
176,2014103008136,"Christie, Agatha",Gamle synder ruster ikke,1983
177,2011110708181,"Forester, C.S.",Hornblower bruker list,1971
178,2007080200010,"Greene, Graham",Min venn generalen,1985
179,2013030506184,"Gallico, Paul",Mrs. Harris drar til Paris ; og Mrs. Harris drar til New York,1979
180,2013102508038,"Cheever, John",Falconer,1978
181,2015082608018,"Kyle, Duncan",Himmlers hemmelige papirer,1987
182,2016010408247,"Slaughter, Frank G.",Ondskapens skygge,1983
183,2012082206108,"Ashton, David",De gamle damene i dyrehagen,1988
184,2013060708123,"DiMona, Joseph",Ørnens skygge,1981
185,2012092706174,"Kurelek, William",Barna på præriegården,1978
186,2014070406079,"Puzo, Mario",Narrene dør,1979
187,2015063008041,"Uris, Leon",QB VII,1985
188,2015091506082,"Kellogg, Steven",Får jeg ha den?,1974
189,2014030707150,"Yerby, Frank",Mister Pride,1975
190,2015110608106,"Pattinson, James",Første vakt,1973
191,2010081103003,"Jones, Toeckey","Far vel, lev vel",1990
192,2016060948045,"Highsmith, Patricia",forfulgte Mr. Ripley,1982
193,2013101408039,"Lewis, David",Lasse og vennene hans,1975
194,2012102206061,"Porter, Eleanor H.",Pollyanna,1977
195,2008060500046,"Fugard, Athol",God dag og farvel,1985
196,2013022006037,"Windsor, Patricia",Sommeren før,1975
197,2012041108096,"Dickens, Charles",David Copperfield,1980
198,2013120306049,"Holt, Victoria",Nattergalens hemmelighet,1986
199,2012112206050,"Tevis, Walter",Dronninggambit,1983
200,2015111008109,"Macdonald, Ross",Svarte penger,1981
201,2012012406006,"Du Maurier, Daphne",Aldri ung igjen,1980
